experiment	tag	kernel_type	throughput_tflops	latency_us	pct_peak	speedup_vs_pytorch	correctness	peak_vram_mb	description
20	gemm2-warps5	gemm	0.0	0.0	0.0	0.0	FAIL	212.1	num_warps=5: REVERT Triton requires power of 2
21	gemm2-k32	gemm	8.061	2393.0	96.4	1.079	FAIL	468.1	BLOCK_SIZE_K=32: REVERT worse
22	gemm2-warps1	gemm	0.560	0.0	6.7	0.077	FAIL	468.1	num_warps=1: REVERT catastrophic single-warp serialization
23	gemm2-warps2	gemm	1.106	0.0	13.2	0.147	FAIL	468.1	num_warps=2: REVERT bad tensor core coverage
24	gemm2-group8	gemm	8.439	2282.0	100.9	0.920	FAIL	468.1	GROUP_SIZE_M=8: REVERT slightly worse
25	gemm3-baseline	gemm	4.470	1081.06	53.5	0.373	FAIL	468.1	gemm3 baseline: M=4096 N=768 K=768 attn proj
26	gemm3-combo	gemm	9.655	484.0	115.5	0.811	FAIL	468.1	gemm2 combo to gemm3: +116% TFLOPS
27	gemm3-group8	gemm	9.954	470.0	119.1	0.860	FAIL	468.1	GROUP_SIZE_M=8: +3.1% better L2 with N=K=768
28	gemm3-k32	gemm	6.969	693.29	83.4	0.605	FAIL	468.1	BLOCK_SIZE_K=32: REVERT 2x K-iterations hurts badly
29	gemm3-group6	gemm	9.592	504.0	114.7	0.813	FAIL	468.1	GROUP_SIZE_M=6: REVERT slightly worse than 8
30	gemm3-n64	gemm	8.122	594.0	97.2	0.682	FAIL	468.1	BLOCK_SIZE_N=64: REVERT fewer compute per tile hurts
31	gemm3-stages3	gemm	9.775	490.0	116.9	0.820	FAIL	468.1	num_stages=3: REVERT slightly worse, Orin not benefiting
32	fused_mlp4-baseline	fused_mlp	0.492	0.0	5.9	1.134	FAIL	468.1	fused_mlp4 baseline: M=8 K=512 N=3072 tiny-batch memory-bound
33	fused_mlp4-tiles16x128k64	fused_mlp	0.518	0.0	6.2	1.202	FAIL	468.1	M=16 N=128 K=64: +5% fewer padding, larger tiles
34	fused_mlp4-m8n128k64	fused_mlp	0.533	0.0	6.4	1.230	FAIL	468.1	M=8 N=128 K=64: +3% exact M match no padding waste
35	fused_mlp4-n256	fused_mlp	0.501	0.0	6.0	1.160	FAIL	468.1	N=256: REVERT too few tiles (12 total) not enough SM parallelism
36	fused_mlp4-k128	fused_mlp	0.519	0.0	6.2	1.190	FAIL	468.1	K=128: REVERT shared mem pressure hurts vs K=64
37	fused_mlp4-warps2	fused_mlp	0.497	0.0	5.9	1.150	FAIL	468.1	num_warps=2: REVERT slightly worse than auto
38	fused_mlp4-warps4	fused_mlp	0.518	0.0	6.2	1.210	FAIL	468.1	num_warps=4: REVERT auto warps better
39	fused_mlp4-notf32	fused_mlp	0.365	0.0	4.4	0.867	FAIL	468.1	allow_tf32=False: REVERT catastrophic for tiny-M memory-bound
40	fused_mlp5-baseline	fused_mlp	6.797	0.0	81.3	0.884	FAIL	468.1	fused_mlp5 baseline: M=2048 K=2048 N=5504 compute-bound
41	fused_mlp5-combo128x128	fused_mlp	3.583	0.0	42.9	0.535	FAIL	468.1	128x128 tiles: REVERT register spill 2 accumulators > 255 regs
42	fused_mlp5-m128n64k64	fused_mlp	7.135	0.0	85.3	0.921	FAIL	468.1	M=128 N=64 K=64 swizzle: +5% over baseline
43	fused_mlp5-m64n128k64	fused_mlp	8.256	0.0	98.8	1.058	FAIL	468.1	M=64 N=128 K=64 swizzle: +21% 1.058x PyTorch now beating cuBLAS!
44	fused_mlp5-group4	fused_mlp	8.345	0.0	99.8	1.078	FAIL	468.1	GROUP_SIZE_M=4: +1.1% 99.8% peak
45	fused_mlp5-group2	fused_mlp	7.338	0.0	87.8	0.935	FAIL	468.1	GROUP_SIZE_M=2: REVERT too little L2 grouping
46	fused_mlp5-group6	fused_mlp	8.134	0.0	97.3	1.052	FAIL	468.1	GROUP_SIZE_M=6: REVERT slightly worse than 4
47	fused_mlp5-k32	fused_mlp	7.675	0.0	91.8	0.991	FAIL	468.1	K=32: REVERT more K iterations hurt compute-bound kernel
48	fused_mlp5-warps8	fused_mlp	7.727	0.0	92.4	0.990	FAIL	468.1	num_warps=8: REVERT register pressure with 2 accumulators
49	fused_mlp5-group8	fused_mlp	8.221	0.0	98.3	1.064	FAIL	468.1	GROUP_SIZE_M=8: REVERT slightly worse than GROUP_SIZE_M=4
